label,type,family,covars,n_tests,mean_mae_rate,sd_mae_rate,mean_rmse_rate,mean_mae_log,mean_cor_rate,mean_mae_count,sd_mae_count,mean_rmse_count,mean_cor_count,mean_zero_acc,skill_mae_rate,skill_rmse_rate,skill_mae_count,skill_rmse_count,rank_rate,rank_count
"Hurdle GLM_INT (basin, log(sdi))",hurdle,glm_int,basin,25,1.8240484224333218,0.7944237845845209,14.937782959127844,2.1840437525667196,-0.029874417620992733,453.7421203428308,220.09545399480197,5366.989916746338,0.0028045952057339798,0.48503253796095447,0.6590527991900598,0.004194017986134946,0.8161378319124591,0.3302096427726503,210.0,430.0
"Hurdle GLM_INT (basin, no log)",hurdle,glm_int,basin,25,1.6781400229872945,0.8238072102543256,14.77686261764664,2.182501894793114,-0.03228823401538421,419.07181398457425,240.0718249277682,5338.38861055277,0.005111544226390015,0.485177151120752,0.6863256828229503,0.014921542888133743,0.8301866878804084,0.33377903257768515,112.0,298.0
"Hurdle GLM_INT (year, log(max_wind_speed) & log(sdi))",hurdle,glm_int,year,25,1.5980098519447508,0.8257671173536006,14.758858071748174,2.2661359004040347,-0.12494149414077761,391.6001641895241,251.35815370820146,5302.886467958707,0.00427623999688023,0.48054953000723066,0.7013034417362425,0.016121790244665313,0.8413185552248885,0.3382096339276556,56.0,233.0
"Hurdle GLM_INT (year, log(max_wind_speed))",hurdle,glm_int,year,25,1.5957793868596921,0.82625766963,14.757226746708227,2.254027348345076,-0.11414867111258824,392.56978970289174,251.65941170076744,5304.233917557219,0.00496408797126742,0.48286334056399133,0.7017203554639166,0.016230540200253274,0.8409256504423525,0.3380414747244648,43.0,236.0
"Hurdle GLM_INT (year, log(sdi))",hurdle,glm_int,year,25,1.8135768619633623,0.809109816133204,15.067579210877822,1.896084792905188,-0.03236911432512514,453.7373586819629,217.49855106275055,5447.294754923967,0.0007904045758067434,0.5522776572668113,0.6610101207098371,-0.004458663893716963,0.8161397613989485,0.32018774836173514,208.0,429.0
"Hurdle GLM_INT (year, no log)",hurdle,glm_int,year,25,1.692348267963264,0.8307020798398698,14.845766746911812,2.0303350246761385,-0.030978936803644302,431.94178745088925,240.62452621352173,5419.006412963675,0.002686351480016193,0.5253796095444685,0.6836699082868136,0.010328147449502945,0.8249716083921785,0.3237180808126744,119.0,323.0
"Hurdle GLM_INT (basin_year, log(max_wind_speed) & log(sdi))",hurdle,glm_int,basin_year,25,1.5981657682938883,0.8254677387018986,14.759333997000804,2.2683964929637135,-0.12450326211038092,382.85592742783314,255.8774812136974,5298.519771085346,0.011281496129227528,0.4744757772957339,0.7012742981882174,0.016090063366931417,0.8448618329088305,0.33875458957394544,58.0,191.0
"Hurdle GLM_INT (basin_year, log(max_wind_speed))",hurdle,glm_int,basin_year,25,1.5940712678302094,0.8256864208585756,14.753947782534633,2.2438181881563906,-0.08861827463197901,388.2069051802981,254.14109717154665,5304.8669709032765,0.00263553976416613,0.4822848879248012,0.7020396333923915,0.016449127667202634,0.8426935476056874,0.3379624708445661,35.0,212.0
"Hurdle GLM_INT (basin_year, log(sdi))",hurdle,glm_int,basin_year,25,1.8120463822698019,0.8015966187975178,15.065387385936235,1.8951688416283565,-0.032086699904590295,450.7460130806689,218.0618424486668,5444.74886927446,0.0022724003422386306,0.5472161966738973,0.6612961946764042,-0.004312549012122302,0.817351893275393,0.3205054701546013,207.0,359.0
"Hurdle GLM_INT (basin_year, no log)",hurdle,glm_int,basin_year,25,1.6788931034485985,0.8294124869952095,14.8270839946821,2.0337306994438706,-0.02901806825234413,418.44229810211925,243.70788571276185,5389.440844391403,0.0048834684467386836,0.519884309472162,0.6861849186458,0.011573606463182173,0.8304417758473492,0.32740780876872333,114.0,293.0
